10	84	48	16	67	37	74	48
90	56	56	21	90	3	78	80
77	28	77	30	30	43	99	42
44	44	66	10	41	33	78	66
28	67	20	87	41	51	20	51
22	58	22	98	63	4	63	5
89	64	60	6	7	64	90	90
23	19	23	32	21	32	12	36
49	90	12	37	90	60	43	37
36	16	30	13	78	96	97	99
39	16	93	92	20	88	92	88
36	24	76	37	85	43	98	75
41	82	14	20	44	62	41	62
60	79	80	2	40	5	80	2
82	25	82	62	71	36	30	62
40	43	97	67	50	50	34	34
14	87	42	87	1	86	20	29
60	60	71	81	88	65	51	81
41	66	45	1	41	94	66	17
11	91	23	77	7	10	88	52
76	89	39	54	7	82	89	82
4	23	77	58	37	30	27	99
95	67	90	67	52	95	94	49
77	57	26	80	26	1	76	76
68	77	66	71	43	74	92	38
37	76	9	82	94	94	84	76
29	64	89	20	64	29	24	59
95	19	1	95	35	76	19	47
50	66	66	55	23	31	13	50
93	42	31	79	42	79	91	43
17	9	90	39	88	82	49	63
73	18	37	18	97	17	53	97
93	95	93	36	21	4	36	9
87	66	15	84	83	99	95	62
51	47	76	74	53	73	76	73
72	34	89	65	89	83	83	74
15	7	29	19	96	19	44	29
2	14	39	38	14	74	15	38
71	37	88	53	3	26	20	50
15	22	41	86	15	31	73	41
2	2	85	85	38	66	24	47
48	14	51	37	80	38	80	37
20	9	10	20	10	34	44	73
51	40	76	2	58	2	58	29
20	7	53	58	93	20	15	7
57	43	72	80	80	59	57	95
74	8	17	94	27	8	13	94
74	77	68	68	77	11	75	5
2	72	34	95	95	14	35	35
57	50	5	50	57	26	53	47
53	17	85	64	97	97	8	64
29	62	91	9	30	27	75	85
1	64	36	30	50	59	51	91
27	7	27	67	96	35	67	45
28	76	73	80	3	8	11	45
41	28	13	96	84	94	96	28
83	9	13	29	24	75	54	79
83	24	36	83	7	93	93	21
82	36	42	18	11	1	69	95
27	73	27	41	30	3	38	41
14	14	29	35	17	83	29	78
15	12	15	79	12	38	42	62
36	86	91	94	38	30	86	94
97	5	3	4	74	4	6	3
65	81	74	74	39	42	42	7
84	40	86	57	45	52	25	1
98	80	76	91	56	6	71	28
35	66	35	66	1	39	95	67
